Global distance/toll factors: 0.000000 0.000000
Class 1 distance/toll factors: 0.000000 0.000000
Read 77667.400000 trips for class 1 (77737.300000 expected)
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 6.541 s.
Iteration 71: gap 0.000012040075521, obj 236555757.418556, time 6.197, 11709 shifts
Iteration 72: gap 0.000012880169925, obj 236555756.841202, time 6.261, 11793 shifts
Iteration 73: gap 0.000011340667008, obj 236555745.432096, time 6.345, 11981 shifts
Iteration 74: gap 0.000011691977386, obj 236555741.337161, time 6.413, 12079 shifts
Iteration 75: gap 0.000011073258273, obj 236555738.967964, time 6.478, 12172 shifts
Iteration 76: gap 0.000012774848478, obj 236555738.42955, time 6.542, 12250 shifts
Iteration 77: gap 0.000011352521414, obj 236555722.819611, time 6.622, 12452 shifts
Iteration 78: gap 0.000011179373338, obj 236555720.61046, time 6.689, 12536 shifts
Iteration 79: gap 0.000011272119630, obj 236555715.491661, time 6.759, 12654 shifts
Iteration 80: gap 0.000010909587925, obj 236555712.914981, time 6.826, 12760 shifts
Iteration 81: gap 0.000012618567381, obj 236555712.381481, time 6.891, 12835 shifts
Iteration 82: gap 0.000011070828573, obj 236555706.53282, time 6.963, 12968 shifts
Iteration 83: gap 0.000012529231199, obj 236555706.003021, time 7.028, 13047 shifts
Iteration 84: gap 0.000011031402347, obj 236555700.157443, time 7.098, 13178 shifts
Iteration 85: gap 0.000013057663925, obj 236555699.628615, time 7.163, 13253 shifts
Iteration 86: gap 0.000012457179297, obj 236555697.521018, time 7.232, 13346 shifts
Iteration 87: gap 0.000011012207646, obj 236555690.362921, time 7.305, 13484 shifts
Iteration 88: gap 0.000011049964981, obj 236555688.372694, time 7.369, 13571 shifts
Iteration 89: gap 0.000010856834046, obj 236555680.040827, time 7.453, 13725 shifts
Iteration 90: gap 0.000012323084912, obj 236555679.519263, time 7.517, 13804 shifts
Iteration 91: gap 0.000011093252408, obj 236555674.839187, time 7.586, 13909 shifts
Iteration 92: gap 0.000011127532592, obj 236555673.786703, time 7.651, 13990 shifts
Iteration 93: gap 0.000010884966925, obj 236555668.564323, time 7.732, 14130 shifts
Iteration 94: gap 0.000010780780148, obj 236555665.140445, time 7.802, 14221 shifts
Iteration 95: gap 0.000010776661366, obj 236555656.564059, time 7.878, 14357 shifts
Iteration 96: gap 0.000010704177972, obj 236555654.832405, time 7.944, 14439 shifts
Iteration 97: gap 0.000011195967020, obj 236555653.558848, time 8.010, 14524 shifts
Iteration 98: gap 0.000010685402363, obj 236555651.497209, time 8.075, 14612 shifts
Iteration 99: gap 0.000012101549647, obj 236555650.983858, time 8.139, 14689 shifts
Iteration 100: gap 0.000010523950752, obj 236555644.589644, time 8.210, 14817 shifts
Aggregate TSTT: 277268162.637364
