Global distance/toll factors: 0.000000 0.000000
Warning: Ignoring unknown metadata tag TOTAL OD FOW in trips file net/WL_TR1_DR0.75_FF0.5_PF0.7_trips.txtClass 1 distance/toll factors: 0.000000 0.000000
Read 145708.000000 trips for class 1 (0.000000 expected)
Warning: Class 1 demand differs from stated value by more than 1%
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 5.534 s.
Iteration 69: gap 0.000020296556162, obj 731478088.735202, time 12.580, 20023 shifts
Iteration 70: gap 0.000020050168650, obj 731478055.878967, time 12.700, 20164 shifts
Iteration 71: gap 0.000021178213066, obj 731477885.468353, time 12.884, 20464 shifts
Iteration 72: gap 0.000023729883011, obj 731477810.078199, time 13.045, 20675 shifts
Iteration 73: gap 0.000023447346897, obj 731477580.280305, time 13.237, 21022 shifts
Iteration 74: gap 0.000018827914188, obj 731477506.860246, time 13.434, 21282 shifts
Iteration 75: gap 0.000018431244572, obj 731477446.374192, time 13.621, 21564 shifts
Iteration 76: gap 0.000018180882320, obj 731477383.113026, time 13.796, 21852 shifts
Iteration 77: gap 0.000018531619205, obj 731477340.433097, time 13.927, 22041 shifts
Iteration 78: gap 0.000018936233845, obj 731477280.470831, time 14.083, 22281 shifts
Iteration 79: gap 0.000021771155043, obj 731477123.414795, time 14.289, 22626 shifts
Iteration 80: gap 0.000018096982970, obj 731477042.480342, time 14.452, 22848 shifts
Iteration 81: gap 0.000018463988422, obj 731477017.2068, time 14.547, 22963 shifts
Iteration 82: gap 0.000017155792021, obj 731477014.229877, time 14.628, 23033 shifts
Iteration 83: gap 0.000019724721892, obj 731476784.687449, time 14.863, 23453 shifts
Iteration 84: gap 0.000017594072942, obj 731476698.312881, time 15.051, 23703 shifts
Iteration 85: gap 0.000016364910523, obj 731476676.712081, time 15.171, 23828 shifts
Iteration 86: gap 0.000016031945334, obj 731476630.953458, time 15.316, 24039 shifts
Iteration 87: gap 0.000017353946650, obj 731476605.813118, time 15.438, 24199 shifts
Iteration 88: gap 0.000016807611691, obj 731476584.030225, time 15.544, 24319 shifts
Iteration 89: gap 0.000016355949485, obj 731476565.958012, time 15.654, 24461 shifts
