Global distance/toll factors: 0.000000 0.000000
Class 1 distance/toll factors: 0.000000 0.000000
Read 77667.400000 trips for class 1 (77737.300000 expected)
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 5.206 s.
Iteration 1: gap 0.152758063851589, obj 248925768.057576, time 0.272, 546 shifts
Iteration 2: gap 0.072800031100269, obj 245076556.277046, time 0.433, 707 shifts
Iteration 3: gap 0.036931766936830, obj 243287663.593675, time 0.728, 878 shifts
Iteration 4: gap 0.006320751924495, obj 242199297.427598, time 0.883, 1054 shifts
Iteration 5: gap 0.002441077385727, obj 241705162.41711, time 1.242, 1403 shifts
Iteration 6: gap 0.001289403678880, obj 241550025.800407, time 1.471, 1695 shifts
Iteration 7: gap 0.001103118755776, obj 241469235.475641, time 1.609, 2021 shifts
Iteration 8: gap 0.000417234924265, obj 241427666.109049, time 1.742, 2289 shifts
Iteration 9: gap 0.000486921221998, obj 241394629.311776, time 1.880, 2684 shifts
Iteration 10: gap 0.000429841760903, obj 241388750.776727, time 2.016, 2837 shifts
Iteration 11: gap 0.000294312077771, obj 241385061.109693, time 2.167, 3007 shifts
Iteration 12: gap 0.000151957177437, obj 241381349.261856, time 2.288, 3171 shifts
Iteration 13: gap 0.000058570212462, obj 241378149.572994, time 2.423, 3408 shifts
Iteration 14: gap 0.000036600687078, obj 241374983.406834, time 2.564, 3793 shifts
Iteration 15: gap 0.000030019226050, obj 241373455.101948, time 2.684, 4117 shifts
Iteration 16: gap 0.000023144544665, obj 241373099.922378, time 2.800, 4386 shifts
Iteration 17: gap 0.000022902019094, obj 241372901.263236, time 2.930, 4650 shifts
Iteration 18: gap 0.000016929830801, obj 241372815.289235, time 3.049, 4846 shifts
Iteration 19: gap 0.000016430330019, obj 241372775.57526, time 3.209, 5176 shifts
Iteration 20: gap 0.000016756882223, obj 241372728.538069, time 3.352, 5462 shifts
Iteration 21: gap 0.000014360360158, obj 241372655.156163, time 3.505, 5889 shifts
Iteration 22: gap 0.000020061724124, obj 241372633.03674, time 3.609, 6093 shifts
Iteration 23: gap 0.000014652040893, obj 241372626.886701, time 3.729, 6229 shifts
Iteration 24: gap 0.000014322742574, obj 241372592.619844, time 3.892, 6486 shifts
Iteration 25: gap 0.000018485433891, obj 241372581.768615, time 4.018, 6672 shifts
Iteration 26: gap 0.000015155062709, obj 241372578.760351, time 4.127, 6778 shifts
Iteration 27: gap 0.000019077424222, obj 241372557.909706, time 4.263, 7005 shifts
Iteration 28: gap 0.000014021050347, obj 241372549.606317, time 4.400, 7148 shifts
Iteration 29: gap 0.000014907177945, obj 241372514.165448, time 4.509, 7416 shifts
Iteration 30: gap 0.000019285663444, obj 241372502.629023, time 4.594, 7546 shifts
Iteration 31: gap 0.000016108047976, obj 241372491.008233, time 4.677, 7689 shifts
Iteration 32: gap 0.000017060791628, obj 241372469.790288, time 4.822, 7906 shifts
Iteration 33: gap 0.000013491076345, obj 241372461.38068, time 4.975, 8096 shifts
Iteration 34: gap 0.000015242856687, obj 241372424.430732, time 5.130, 8382 shifts
Iteration 35: gap 0.000014682195573, obj 241372389.051702, time 5.268, 8690 shifts
Iteration 36: gap 0.000012821231154, obj 241372383.832918, time 5.365, 8790 shifts
Iteration 37: gap 0.000012013353299, obj 241372241.143839, time 5.530, 9262 shifts
Iteration 38: gap 0.000014746432160, obj 241372204.939106, time 5.726, 9597 shifts
Iteration 39: gap 0.000012098815910, obj 241372199.728533, time 5.845, 9745 shifts
Iteration 40: gap 0.000011333529227, obj 241372178.105523, time 5.993, 10024 shifts
Iteration 41: gap 0.000014940935133, obj 241372163.841768, time 6.140, 10291 shifts
Iteration 42: gap 0.000014488994056, obj 241372154.239857, time 6.259, 10441 shifts
Iteration 43: gap 0.000013329188232, obj 241372126.428581, time 6.410, 10687 shifts
Iteration 44: gap 0.000013380081962, obj 241372120.498872, time 6.550, 10839 shifts
Iteration 45: gap 0.000015939682935, obj 241372110.703954, time 6.643, 11012 shifts
Iteration 46: gap 0.000013547568663, obj 241372106.675681, time 6.716, 11130 shifts
Iteration 47: gap 0.000013442534787, obj 241372087.727946, time 6.809, 11352 shifts
Iteration 48: gap 0.000010807276127, obj 241372080.541651, time 6.890, 11515 shifts
Iteration 49: gap 0.000011124593939, obj 241372061.601827, time 7.052, 11722 shifts
Iteration 50: gap 0.000013884698173, obj 241372035.493178, time 7.226, 12006 shifts
Iteration 51: gap 0.000010594818312, obj 241372028.93683, time 7.309, 12160 shifts
Iteration 52: gap 0.000010675793420, obj 241371989.306585, time 7.427, 12486 shifts
Iteration 53: gap 0.000012086504342, obj 241371968.144991, time 7.527, 12711 shifts
Iteration 54: gap 0.000014253084870, obj 241371962.771664, time 7.602, 12844 shifts
Iteration 55: gap 0.000010094521030, obj 241371951.88645, time 7.692, 13030 shifts
Iteration 56: gap 0.000011627412794, obj 241371940.291463, time 7.776, 13227 shifts
Iteration 57: gap 0.000012525595034, obj 241371927.418925, time 7.861, 13423 shifts
Iteration 58: gap 0.000011325786735, obj 241371921.946048, time 7.940, 13561 shifts
Iteration 59: gap 0.000010375288269, obj 241371911.897089, time 8.029, 13714 shifts
Iteration 60: gap 0.000009615804762, obj 241371905.377716, time 8.158, 13855 shifts
Aggregate TSTT: 298384242.446700
