Global distance/toll factors: 0.000000 0.000000
Class 1 distance/toll factors: 0.000000 0.000000
Read 77667.400000 trips for class 1 (77737.300000 expected)
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 5.234 s.
Iteration 1: gap 0.191669345223258, obj 259736831.205878, time 0.274, 556 shifts
Iteration 2: gap 0.088352302321407, obj 254568079.568915, time 0.429, 716 shifts
Iteration 3: gap 0.047735015965373, obj 252390516.720942, time 0.617, 880 shifts
Iteration 4: gap 0.010810149047458, obj 250803408.112763, time 0.782, 1058 shifts
Iteration 5: gap 0.004347300297595, obj 250262919.932853, time 1.000, 1331 shifts
Iteration 6: gap 0.002341780795738, obj 250017776.120831, time 1.175, 1620 shifts
Iteration 7: gap 0.002086812288390, obj 249913538.231393, time 1.315, 1905 shifts
Iteration 8: gap 0.000794804357584, obj 249855822.631091, time 1.421, 2114 shifts
Iteration 9: gap 0.000475801827068, obj 249784455.653477, time 1.571, 2523 shifts
Iteration 10: gap 0.000242308815171, obj 249752309.083342, time 1.692, 2870 shifts
Iteration 11: gap 0.000145875799491, obj 249738596.094894, time 1.813, 3292 shifts
Iteration 12: gap 0.000098858864909, obj 249730065.231782, time 1.949, 3788 shifts
Iteration 13: gap 0.000064663503312, obj 249723867.614832, time 2.064, 4210 shifts
Iteration 14: gap 0.000050177906490, obj 249719793.748577, time 2.224, 4779 shifts
Iteration 15: gap 0.000048334366592, obj 249717938.143434, time 2.356, 5251 shifts
Iteration 16: gap 0.000043780265531, obj 249717115.61667, time 2.461, 5555 shifts
Iteration 17: gap 0.000031339329748, obj 249716540.291067, time 2.558, 5800 shifts
Iteration 18: gap 0.000034784639328, obj 249715866.065461, time 2.688, 6255 shifts
Iteration 19: gap 0.000027750686255, obj 249715601.950616, time 2.797, 6551 shifts
Iteration 20: gap 0.000023508144405, obj 249715349.262285, time 2.906, 6854 shifts
Iteration 21: gap 0.000028562024753, obj 249715067.227755, time 3.006, 7109 shifts
Iteration 22: gap 0.000026329950217, obj 249714777.725498, time 3.113, 7371 shifts
Iteration 23: gap 0.000020026888434, obj 249714440.760709, time 3.234, 7695 shifts
Iteration 24: gap 0.000025738919401, obj 249714302.511879, time 3.323, 7892 shifts
Iteration 25: gap 0.000016116749185, obj 249714265.703682, time 3.422, 8140 shifts
Iteration 26: gap 0.000020147656371, obj 249714218.737222, time 3.521, 8399 shifts
Iteration 27: gap 0.000018443985158, obj 249714191.330574, time 3.633, 8712 shifts
Iteration 28: gap 0.000013478756838, obj 249714184.244485, time 3.709, 8873 shifts
Iteration 29: gap 0.000012614346746, obj 249714073.217755, time 3.801, 9116 shifts
Iteration 30: gap 0.000012575697291, obj 249714051.401967, time 3.915, 9414 shifts
Iteration 31: gap 0.000018009776860, obj 249714036.469681, time 4.031, 9680 shifts
Iteration 32: gap 0.000017860241332, obj 249714027.05226, time 4.123, 9841 shifts
Iteration 33: gap 0.000016763276342, obj 249714014.781065, time 4.214, 10008 shifts
Iteration 34: gap 0.000018168614310, obj 249714010.034172, time 4.288, 10132 shifts
Iteration 35: gap 0.000018028199493, obj 249714006.69504, time 4.366, 10251 shifts
Iteration 36: gap 0.000012059594731, obj 249713992.47511, time 4.469, 10484 shifts
Iteration 37: gap 0.000017872532569, obj 249713982.237894, time 4.553, 10680 shifts
Iteration 38: gap 0.000017634618235, obj 249713970.619082, time 4.644, 10865 shifts
Iteration 39: gap 0.000017773665221, obj 249713963.654648, time 4.734, 11024 shifts
Iteration 40: gap 0.000012065994128, obj 249713954.355286, time 4.820, 11208 shifts
Iteration 41: gap 0.000017127427214, obj 249713907.878121, time 4.918, 11482 shifts
Iteration 42: gap 0.000016795723365, obj 249713900.057221, time 5.007, 11675 shifts
Iteration 43: gap 0.000011619399555, obj 249713892.58227, time 5.089, 11839 shifts
Iteration 44: gap 0.000017242755809, obj 249713882.443231, time 5.182, 12058 shifts
Iteration 45: gap 0.000017581391618, obj 249713876.537399, time 5.262, 12207 shifts
Iteration 46: gap 0.000017273241673, obj 249713866.570809, time 5.358, 12405 shifts
Iteration 47: gap 0.000017150151368, obj 249713854.216663, time 5.448, 12613 shifts
Iteration 48: gap 0.000016412856513, obj 249713842.762353, time 5.535, 12777 shifts
Iteration 49: gap 0.000017075794527, obj 249713834.884455, time 5.621, 12943 shifts
Iteration 50: gap 0.000016897545722, obj 249713829.0794, time 5.698, 13079 shifts
Iteration 51: gap 0.000016951283816, obj 249713813.789989, time 5.807, 13314 shifts
Iteration 52: gap 0.000016951042898, obj 249713798.959666, time 5.905, 13518 shifts
Iteration 53: gap 0.000016900681555, obj 249713793.417243, time 5.980, 13652 shifts
Iteration 54: gap 0.000010928700090, obj 249713789.018921, time 6.060, 13785 shifts
Iteration 55: gap 0.000016393042140, obj 249713774.366042, time 6.167, 14032 shifts
Iteration 56: gap 0.000016751234413, obj 249713772.34747, time 6.240, 14146 shifts
Iteration 57: gap 0.000016723736494, obj 249713765.105975, time 6.326, 14337 shifts
Iteration 58: gap 0.000011091055455, obj 249713763.383655, time 6.396, 14437 shifts
Iteration 59: gap 0.000011025252935, obj 249713755.025124, time 6.500, 14654 shifts
Iteration 60: gap 0.000011106934461, obj 249713737.959328, time 6.600, 14934 shifts
Iteration 61: gap 0.000010822793252, obj 249713721.719258, time 6.702, 15189 shifts
Iteration 62: gap 0.000010807468869, obj 249713713.449482, time 6.789, 15382 shifts
Iteration 63: gap 0.000010863572488, obj 249713702.324594, time 6.885, 15635 shifts
Iteration 64: gap 0.000016344180702, obj 249713697.834766, time 6.960, 15778 shifts
Iteration 65: gap 0.000015730476526, obj 249713689.761711, time 7.068, 15983 shifts
Iteration 66: gap 0.000010564805984, obj 249713688.394487, time 7.140, 16097 shifts
Iteration 67: gap 0.000010459626410, obj 249713677.916387, time 7.233, 16331 shifts
Iteration 68: gap 0.000016332164072, obj 249713672.48924, time 7.312, 16485 shifts
Iteration 69: gap 0.000010758927725, obj 249713668.22919, time 7.387, 16619 shifts
Iteration 70: gap 0.000010719788768, obj 249713659.362706, time 7.477, 16833 shifts
Iteration 71: gap 0.000010608267212, obj 249713647.412769, time 7.579, 17088 shifts
Iteration 72: gap 0.000016095437307, obj 249713641.610922, time 7.659, 17235 shifts
Iteration 73: gap 0.000015873107381, obj 249713636.783395, time 7.739, 17392 shifts
Iteration 74: gap 0.000010551477047, obj 249713629.264207, time 7.821, 17562 shifts
Iteration 75: gap 0.000010586559934, obj 249713615.171167, time 7.918, 17826 shifts
Iteration 76: gap 0.000010471482204, obj 249713610.219192, time 7.996, 17984 shifts
Iteration 77: gap 0.000015983722120, obj 249713601.679442, time 8.083, 18167 shifts
Iteration 78: gap 0.000014551138209, obj 249713593.099041, time 8.163, 18318 shifts
Iteration 79: gap 0.000010888918320, obj 249713585.630277, time 8.262, 18539 shifts
Iteration 80: gap 0.000010464882140, obj 249713578.582893, time 8.342, 18705 shifts
Iteration 81: gap 0.000014658948664, obj 249713570.242469, time 8.425, 18897 shifts
Iteration 82: gap 0.000010164075853, obj 249713565.758791, time 8.504, 19054 shifts
Iteration 83: gap 0.000009693961076, obj 249713554.03184, time 8.617, 19337 shifts
Aggregate TSTT: 338273975.169938
