Global distance/toll factors: 0.000000 0.000000
Warning: Ignoring unknown metadata tag TOTAL DEMAND in trips file net/WL_TR1_DR1_FF0.5_PF0.7_trips.txtClass 1 distance/toll factors: 0.000000 0.000000
Read 194284.400000 trips for class 1 (0.000000 expected)
Warning: Class 1 demand differs from stated value by more than 1%
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 2.557 s.
Iteration 68: gap 0.000022272290730, obj 1819662987.49269, time 8.221, 27224 shifts
Iteration 69: gap 0.000021029736656, obj 1819662900.84278, time 8.294, 27363 shifts
Iteration 70: gap 0.000027117701530, obj 1819662707.01122, time 8.370, 27563 shifts
Iteration 71: gap 0.000023779543399, obj 1819662439.1407, time 8.455, 27811 shifts
Iteration 72: gap 0.000023195783529, obj 1819662417.60578, time 8.527, 27907 shifts
Iteration 73: gap 0.000022682087791, obj 1819662190.11157, time 8.636, 28208 shifts
Iteration 74: gap 0.000023389061205, obj 1819661884.3055, time 8.744, 28465 shifts
Iteration 75: gap 0.000021535006810, obj 1819661655.40366, time 8.833, 28691 shifts
Iteration 76: gap 0.000022928583690, obj 1819661557.58626, time 8.916, 28878 shifts
Iteration 77: gap 0.000019895723922, obj 1819661546.57728, time 8.960, 28946 shifts
Iteration 78: gap 0.000022819071947, obj 1819661242.44756, time 9.042, 29152 shifts
Iteration 79: gap 0.000019776156797, obj 1819660992.41514, time 9.147, 29387 shifts
Iteration 80: gap 0.000025004500272, obj 1819660757.56144, time 9.236, 29595 shifts
Iteration 81: gap 0.000022650401241, obj 1819660647.80613, time 9.309, 29729 shifts
Iteration 82: gap 0.000021791868593, obj 1819660593.93108, time 9.373, 29827 shifts
Iteration 83: gap 0.000020635080705, obj 1819660426.18182, time 9.457, 30008 shifts
Iteration 84: gap 0.000022461594918, obj 1819660096.46526, time 9.583, 30285 shifts
Iteration 85: gap 0.000039859240961, obj 1819659935.91592, time 9.683, 30524 shifts
Iteration 86: gap 0.000020222991855, obj 1819659756.58569, time 9.760, 30719 shifts
Iteration 87: gap 0.000020436173408, obj 1819659587.75078, time 9.855, 30950 shifts
Iteration 88: gap 0.000018300701967, obj 1819659376.26365, time 9.970, 31282 shifts
Iteration 89: gap 0.000019991465669, obj 1819659139.22886, time 10.105, 31665 shifts
Iteration 90: gap 0.000019688345737, obj 1819658907.41099, time 10.239, 32106 shifts
Iteration 91: gap 0.000018090151073, obj 1819658706.53443, time 10.364, 32500 shifts
Iteration 92: gap 0.000018502866084, obj 1819658396.31139, time 10.499, 32852 shifts
Iteration 93: gap 0.000017374635938, obj 1819658175.25782, time 10.641, 33122 shifts
Iteration 94: gap 0.000019674243794, obj 1819657993.94467, time 10.781, 33528 shifts
Iteration 95: gap 0.000018398782212, obj 1819657879.56872, time 10.856, 33692 shifts
Iteration 96: gap 0.000018284589641, obj 1819657719.23264, time 10.942, 33918 shifts
Iteration 97: gap 0.000036621968214, obj 1819657485.25256, time 11.060, 34165 shifts
Iteration 98: gap 0.000018267996458, obj 1819657443.41089, time 11.131, 34294 shifts
Iteration 99: gap 0.000019111996923, obj 1819657314.73397, time 11.269, 34619 shifts
Iteration 100: gap 0.000017799234791, obj 1819657299.87598, time 11.322, 34703 shifts
Aggregate TSTT: 6740223464.961814
