Global distance/toll factors: 0.000000 0.000000
Class 1 distance/toll factors: 0.000000 0.000000
Read 77667.400000 trips for class 1 (77737.300000 expected)
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 5.194 s.
Iteration 71: gap 0.000010784810648, obj 240445032.539478, time 6.260, 13142 shifts
Iteration 72: gap 0.000010580595537, obj 240445031.379457, time 6.331, 13233 shifts
Iteration 73: gap 0.000010446424364, obj 240445030.688172, time 6.400, 13313 shifts
Iteration 74: gap 0.000011464325085, obj 240445030.346518, time 6.468, 13389 shifts
Iteration 75: gap 0.000010752272626, obj 240445026.632023, time 6.540, 13515 shifts
Iteration 76: gap 0.000010549490309, obj 240445025.698974, time 6.609, 13599 shifts
Iteration 77: gap 0.000010564898902, obj 240445024.338015, time 6.678, 13683 shifts
Iteration 78: gap 0.000011410127194, obj 240445023.996115, time 6.746, 13754 shifts
Iteration 79: gap 0.000010756391484, obj 240445017.955622, time 6.822, 13904 shifts
Iteration 80: gap 0.000011479541472, obj 240445017.586571, time 6.888, 13981 shifts
Iteration 81: gap 0.000010689336739, obj 240445015.258285, time 6.957, 14078 shifts
Iteration 82: gap 0.000010469866159, obj 240445014.574056, time 7.025, 14163 shifts
Iteration 83: gap 0.000010313681073, obj 240445012.090825, time 7.096, 14264 shifts
Iteration 84: gap 0.000010863111212, obj 240445010.740345, time 7.163, 14353 shifts
Iteration 85: gap 0.000010223145798, obj 240445007.445704, time 7.238, 14462 shifts
Iteration 86: gap 0.000011433303428, obj 240445007.106068, time 7.304, 14541 shifts
Iteration 87: gap 0.000010135809655, obj 240445002.329612, time 7.384, 14683 shifts
Iteration 88: gap 0.000011344184698, obj 240445001.996641, time 7.452, 14755 shifts
