Global distance/toll factors: 0.000000 0.000000
Warning: Ignoring unknown metadata tag TOTAL DEMAND in trips file net/WL_TR2_DR1_FF0.5_PF0.7_trips.txtClass 1 distance/toll factors: 0.000000 0.000000
Read 194284.400000 trips for class 1 (0.000000 expected)
Warning: Class 1 demand differs from stated value by more than 1%
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 2.625 s.
Iteration 1: gap 0.733078209121807, obj 3785615483.81192, time 0.183, 579 shifts
Iteration 2: gap 0.374178253186591, obj 3153412930.86043, time 0.269, 728 shifts
Iteration 3: gap 0.125390920382173, obj 2778361165.3476, time 0.380, 898 shifts
Iteration 4: gap 0.048742545605003, obj 2671648901.79658, time 0.489, 1096 shifts
Iteration 5: gap 0.024857554807392, obj 2633496423.12659, time 0.610, 1331 shifts
Iteration 6: gap 0.014591726006982, obj 2617106326.27877, time 0.713, 1545 shifts
Iteration 7: gap 0.010987618640855, obj 2610555937.90431, time 0.815, 1741 shifts
Iteration 8: gap 0.007501346753814, obj 2603044363.94436, time 0.915, 1952 shifts
Iteration 9: gap 0.006326001382910, obj 2599830744.8285, time 0.995, 2130 shifts
Iteration 10: gap 0.005564688308732, obj 2597855544.03602, time 1.070, 2282 shifts
Iteration 11: gap 0.004948425149135, obj 2596474252.9909, time 1.146, 2408 shifts
Iteration 12: gap 0.002580985525234, obj 2591698140.94379, time 1.209, 2534 shifts
Iteration 13: gap 0.002001647869605, obj 2590496085.89296, time 1.307, 2813 shifts
Iteration 14: gap 0.002040294535277, obj 2589878748.03535, time 1.390, 3040 shifts
Iteration 15: gap 0.001894536967900, obj 2589666085.1652, time 1.447, 3168 shifts
Iteration 16: gap 0.001938443408839, obj 2589496545.80636, time 1.503, 3296 shifts
Iteration 17: gap 0.001720949650748, obj 2589336494.24259, time 1.560, 3430 shifts
Iteration 18: gap 0.001692207870027, obj 2589285858.93073, time 1.606, 3517 shifts
Iteration 19: gap 0.001678568910975, obj 2589210868.57851, time 1.657, 3620 shifts
Iteration 20: gap 0.001787767063461, obj 2589182133.92198, time 1.699, 3680 shifts
Iteration 21: gap 0.001669510208468, obj 2589153879.35601, time 1.747, 3770 shifts
Iteration 22: gap 0.001616818707299, obj 2589128983.86028, time 1.793, 3839 shifts
Iteration 23: gap 0.001665841468805, obj 2589102965.436, time 1.836, 3910 shifts
Iteration 24: gap 0.001672162830156, obj 2589100299.65611, time 1.876, 3963 shifts
Iteration 25: gap 0.001644043210192, obj 2589095620.62327, time 1.917, 4013 shifts
Iteration 26: gap 0.001655923198731, obj 2589084616.60674, time 1.960, 4079 shifts
Iteration 27: gap 0.001758969777199, obj 2589083424.59499, time 2.000, 4128 shifts
Iteration 28: gap 0.001639997662146, obj 2589077425.98802, time 2.045, 4201 shifts
Iteration 29: gap 0.001656805225774, obj 2589070591.52273, time 2.087, 4255 shifts
Iteration 30: gap 0.001621991940852, obj 2589060296.85015, time 2.133, 4331 shifts
Iteration 31: gap 0.001687750789793, obj 2589050551.27503, time 2.177, 4397 shifts
Iteration 32: gap 0.001768786614125, obj 2589048193.48606, time 2.217, 4454 shifts
Iteration 33: gap 0.001622156707705, obj 2589045384.79266, time 2.258, 4519 shifts
Iteration 34: gap 0.001660213193637, obj 2589043919.29411, time 2.299, 4578 shifts
Iteration 35: gap 0.001763913195161, obj 2589034338.33741, time 2.340, 4642 shifts
Iteration 36: gap 0.001635854011372, obj 2589031054.41352, time 2.382, 4713 shifts
Iteration 37: gap 0.001648702434872, obj 2589027410.45505, time 2.428, 4771 shifts
Iteration 38: gap 0.001612285779698, obj 2589026732.992, time 2.468, 4824 shifts
Iteration 39: gap 0.001668797521764, obj 2589014655.98902, time 2.511, 4889 shifts
Iteration 40: gap 0.001613622580034, obj 2589013976.12551, time 2.552, 4942 shifts
Iteration 41: gap 0.001646807644524, obj 2589004009.90088, time 2.595, 5019 shifts
Iteration 42: gap 0.001601945605080, obj 2589003124.00158, time 2.636, 5076 shifts
Iteration 43: gap 0.001652996709810, obj 2588996176.87038, time 2.682, 5147 shifts
Iteration 44: gap 0.001594855220763, obj 2588995653.98263, time 2.725, 5198 shifts
Iteration 45: gap 0.001647938599146, obj 2588989258.08053, time 2.768, 5277 shifts
Iteration 46: gap 0.001598183935687, obj 2588988900.5514, time 2.807, 5325 shifts
Iteration 47: gap 0.001636036898034, obj 2588983149.67409, time 2.850, 5394 shifts
Iteration 48: gap 0.001604926521866, obj 2588981986.47139, time 2.889, 5448 shifts
Iteration 49: gap 0.001649828867486, obj 2588967704.23903, time 2.934, 5527 shifts
Iteration 50: gap 0.001607094579872, obj 2588966848.54547, time 2.973, 5583 shifts
Iteration 51: gap 0.001648093384349, obj 2588964887.61866, time 3.016, 5657 shifts
Iteration 52: gap 0.001602335426084, obj 2588964443.86695, time 3.054, 5710 shifts
Iteration 53: gap 0.001630412277778, obj 2588962256.39487, time 3.099, 5780 shifts
Iteration 54: gap 0.001612331157414, obj 2588958064.08708, time 3.137, 5829 shifts
Iteration 55: gap 0.001625566521966, obj 2588955416.27621, time 3.183, 5893 shifts
Iteration 56: gap 0.001612233003532, obj 2588952774.17591, time 3.223, 5941 shifts
Iteration 57: gap 0.001628245956835, obj 2588948480.85665, time 3.269, 6014 shifts
Iteration 58: gap 0.001598498487361, obj 2588948343.03431, time 3.307, 6057 shifts
Iteration 59: gap 0.001614808238219, obj 2588946154.89145, time 3.351, 6128 shifts
Iteration 60: gap 0.001604258161276, obj 2588945078.6045, time 3.389, 6177 shifts
Iteration 61: gap 0.001627467146269, obj 2588942566.90713, time 3.434, 6255 shifts
Iteration 62: gap 0.001581924720091, obj 2588942023.05971, time 3.473, 6311 shifts
Iteration 63: gap 0.001614651252187, obj 2588938959.90056, time 3.516, 6368 shifts
Iteration 64: gap 0.001597868335313, obj 2588936865.21958, time 3.555, 6418 shifts
Iteration 65: gap 0.001626458443649, obj 2588935211.03937, time 3.601, 6490 shifts
Iteration 66: gap 0.001587552063272, obj 2588935098.03563, time 3.640, 6533 shifts
Iteration 67: gap 0.001611848193759, obj 2588933619.1276, time 3.681, 6591 shifts
Iteration 68: gap 0.001598016151396, obj 2588932384.00614, time 3.721, 6639 shifts
Iteration 69: gap 0.001623842753955, obj 2588930155.5602, time 3.765, 6716 shifts
Iteration 70: gap 0.001582932786168, obj 2588929645.09, time 3.805, 6773 shifts
Iteration 71: gap 0.001633242618799, obj 2588926871.13855, time 3.848, 6843 shifts
Iteration 72: gap 0.001606077824857, obj 2588926372.82815, time 3.888, 6889 shifts
Iteration 73: gap 0.001621261882466, obj 2588924503.62448, time 3.932, 6957 shifts
Iteration 74: gap 0.001608126797401, obj 2588923616.65557, time 3.975, 7002 shifts
Iteration 75: gap 0.001624401309426, obj 2588922397.8467, time 4.013, 7049 shifts
Iteration 76: gap 0.001635998927637, obj 2588920802.95432, time 4.054, 7096 shifts
Iteration 77: gap 0.001606350876105, obj 2588916343.76398, time 4.100, 7163 shifts
Iteration 78: gap 0.001598097625907, obj 2588916197.21719, time 4.140, 7206 shifts
Iteration 79: gap 0.001645932217250, obj 2588913674.54216, time 4.182, 7260 shifts
Iteration 80: gap 0.001594825182044, obj 2588912818.04068, time 4.224, 7317 shifts
Iteration 81: gap 0.001598001395149, obj 2588910433.88925, time 4.269, 7379 shifts
Iteration 82: gap 0.001602173091017, obj 2588909633.5701, time 4.308, 7425 shifts
Iteration 83: gap 0.001611560915850, obj 2588909482.37878, time 4.349, 7470 shifts
Iteration 84: gap 0.001598433334443, obj 2588907999.66033, time 4.389, 7517 shifts
Iteration 85: gap 0.001596744660308, obj 2588907952.92566, time 4.432, 7561 shifts
Iteration 86: gap 0.001596744660308, obj 2588907952.92566, time 4.470, 7603 shifts
Iteration 87: gap 0.001596744660308, obj 2588907952.92566, time 4.507, 7645 shifts
Iteration 88: gap 0.001596744660308, obj 2588907952.92566, time 4.546, 7687 shifts
Iteration 89: gap 0.001596744660308, obj 2588907952.92566, time 4.583, 7729 shifts
Iteration 90: gap 0.001596744660308, obj 2588907952.92566, time 4.621, 7771 shifts
Iteration 91: gap 0.001596744660308, obj 2588907952.92566, time 4.659, 7813 shifts
Iteration 92: gap 0.001596744660308, obj 2588907952.92566, time 4.696, 7855 shifts
Iteration 93: gap 0.001596744660308, obj 2588907952.92566, time 4.734, 7897 shifts
Iteration 94: gap 0.001596744660308, obj 2588907952.92566, time 4.772, 7939 shifts
Iteration 95: gap 0.001596744660308, obj 2588907952.92566, time 4.812, 7981 shifts
Iteration 96: gap 0.001596744660308, obj 2588907952.92566, time 4.849, 8023 shifts
Iteration 97: gap 0.001596744660308, obj 2588907952.92566, time 4.888, 8065 shifts
Iteration 98: gap 0.001596744660308, obj 2588907952.92566, time 4.925, 8107 shifts
Iteration 99: gap 0.001596744660308, obj 2588907952.92566, time 4.963, 8149 shifts
Iteration 100: gap 0.001596744660308, obj 2588907952.92566, time 5.002, 8191 shifts
Aggregate TSTT: 10576478915.421537
