Global distance/toll factors: 0.000000 0.000000
Class 1 distance/toll factors: 0.000000 0.000000
Read 145708.000000 trips for class 1 (145757.400000 expected)
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 5.233 s.
Iteration 1: gap 0.498174345741941, obj 869900441.44986, time 0.383, 570 shifts
Iteration 2: gap 0.243655121151327, obj 786812704.2944, time 0.570, 720 shifts
Iteration 3: gap 0.139936813510650, obj 757852031.004099, time 0.814, 870 shifts
Iteration 4: gap 0.040398061354061, obj 736434471.971053, time 1.041, 1022 shifts
Iteration 5: gap 0.016321420495783, obj 729775784.339437, time 1.320, 1254 shifts
Iteration 6: gap 0.008459129079498, obj 726953587.086324, time 1.550, 1476 shifts
Iteration 7: gap 0.006235939611541, obj 725987772.958323, time 1.751, 1679 shifts
Iteration 8: gap 0.004494713119816, obj 725120702.143863, time 1.929, 1884 shifts
Iteration 9: gap 0.003388223542342, obj 724676037.902601, time 2.082, 2082 shifts
Iteration 10: gap 0.003109191444979, obj 724432174.368711, time 2.230, 2260 shifts
Iteration 11: gap 0.002834194204750, obj 724328739.629673, time 2.347, 2419 shifts
Iteration 12: gap 0.000701561706295, obj 723789849.039203, time 2.442, 2551 shifts
Iteration 13: gap 0.000436455418276, obj 723546741.042098, time 2.704, 3105 shifts
Iteration 14: gap 0.000301493847766, obj 723482155.61498, time 2.903, 3559 shifts
Iteration 15: gap 0.000611017988187, obj 723436458.710886, time 3.099, 4093 shifts
Iteration 16: gap 0.000161492292606, obj 723426424.083422, time 3.200, 4264 shifts
Iteration 17: gap 0.000114987852654, obj 723391584.199549, time 3.436, 4939 shifts
Iteration 18: gap 0.000086936265861, obj 723377802.409406, time 3.657, 5521 shifts
Iteration 19: gap 0.000081130386136, obj 723364913.265343, time 3.881, 6227 shifts
Iteration 20: gap 0.000065998993503, obj 723357873.25243, time 4.059, 6628 shifts
Iteration 21: gap 0.000124991635474, obj 723352329.649865, time 4.227, 6982 shifts
Iteration 22: gap 0.000061726328844, obj 723349855.409125, time 4.344, 7171 shifts
Iteration 23: gap 0.000062183552288, obj 723346157.229396, time 4.512, 7479 shifts
Iteration 24: gap 0.000055295035638, obj 723343956.744106, time 4.650, 7718 shifts
Iteration 25: gap 0.000054912348647, obj 723340894.593519, time 4.818, 8016 shifts
