Global distance/toll factors: 0.000000 0.000000
Warning: Ignoring unknown metadata tag TOTAL DEMAND in trips file net/WL_TR2_DR0.75_FF0.5_PF0.7_trips.txtClass 1 distance/toll factors: 0.000000 0.000000
Read 145708.000000 trips for class 1 (0.000000 expected)
Warning: Class 1 demand differs from stated value by more than 1%
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 5.179 s.
Iteration 69: gap 0.000029818387029, obj 914343028.569202, time 13.501, 20247 shifts
Iteration 70: gap 0.000028127645958, obj 914342993.097144, time 13.596, 20334 shifts
Iteration 71: gap 0.000026309613355, obj 914342830.309298, time 13.757, 20588 shifts
Iteration 72: gap 0.000027692225770, obj 914342451.778762, time 13.970, 20864 shifts
Iteration 73: gap 0.000025812127902, obj 914342210.954761, time 14.186, 21204 shifts
Iteration 74: gap 0.000029406797060, obj 914341957.563508, time 14.386, 21497 shifts
Iteration 75: gap 0.000026992067262, obj 914341931.827033, time 14.484, 21579 shifts
Iteration 76: gap 0.000025682399630, obj 914341688.940522, time 14.659, 21831 shifts
Iteration 77: gap 0.000024312024986, obj 914341601.673947, time 14.819, 22047 shifts
Iteration 78: gap 0.000031663522339, obj 914341384.75802, time 14.983, 22258 shifts
Iteration 79: gap 0.000026318490417, obj 914341200.51416, time 15.125, 22454 shifts
Iteration 80: gap 0.000028010968171, obj 914341010.45905, time 15.356, 22742 shifts
Iteration 81: gap 0.000024985560288, obj 914340941.572831, time 15.488, 22915 shifts
Iteration 82: gap 0.000027446873381, obj 914340725.093727, time 15.666, 23130 shifts
Iteration 83: gap 0.000023513385897, obj 914340665.965255, time 15.789, 23305 shifts
Iteration 84: gap 0.000024534926279, obj 914340596.126924, time 15.954, 23538 shifts
Iteration 85: gap 0.000022329115141, obj 914340487.686898, time 16.132, 23799 shifts
Iteration 86: gap 0.000024544820787, obj 914340262.392163, time 16.349, 24071 shifts
Iteration 87: gap 0.000023807914389, obj 914340087.138652, time 16.547, 24313 shifts
Iteration 88: gap 0.000022019696343, obj 914339956.734468, time 16.767, 24633 shifts
Iteration 89: gap 0.000023316809967, obj 914339786.872672, time 16.962, 24923 shifts
Iteration 90: gap 0.000023761562854, obj 914339715.439523, time 17.103, 25134 shifts
Iteration 91: gap 0.000023701523282, obj 914339682.284886, time 17.213, 25241 shifts
Iteration 92: gap 0.000021189922335, obj 914339519.846748, time 17.369, 25464 shifts
Iteration 93: gap 0.000025194911548, obj 914339357.433406, time 17.551, 25734 shifts
Iteration 94: gap 0.000022012834378, obj 914339299.438985, time 17.667, 25877 shifts
Iteration 95: gap 0.000022614916677, obj 914339287.104759, time 17.760, 25965 shifts
Iteration 96: gap 0.000024189673743, obj 914339122.519879, time 17.906, 26202 shifts
Iteration 97: gap 0.000023770676772, obj 914338981.219663, time 18.063, 26401 shifts
Iteration 98: gap 0.000021717071959, obj 914338936.534506, time 18.166, 26551 shifts
Iteration 99: gap 0.000021782746513, obj 914338879.290781, time 18.275, 26668 shifts
Iteration 100: gap 0.000021449718594, obj 914338824.489191, time 18.391, 26809 shifts
Aggregate TSTT: 2820856212.181058
