Global distance/toll factors: 0.000000 0.000000
Warning: Ignoring unknown metadata tag TOTAL DEMAND in trips file net/WL_TR2_DR1_FF0.6_PF0.8_trips.txtClass 1 distance/toll factors: 0.000000 0.000000
Read 194284.400000 trips for class 1 (0.000000 expected)
Warning: Class 1 demand differs from stated value by more than 1%
6231 nodes, 14860 arcs, and 291 zones
File read and memory allocated.
Forward and reverse star lists generated.
Warning: Creating 180 artifical arcs to ensure strong connectivity.
Finalizing network setup
Finalized network setup
Creating initial bushes
Initializing Algorithm B
Initialized flows
Read matrix 0
Creating batch 0
Created batch 0
Initialization done in 2.532 s.
Iteration 1: gap 0.618565695617240, obj 2426999105.28567, time 0.179, 570 shifts
Iteration 2: gap 0.342827493067013, obj 2079876947.27728, time 0.263, 719 shifts
Iteration 3: gap 0.095002119570220, obj 1880398048.35593, time 0.362, 881 shifts
Iteration 4: gap 0.036778171808688, obj 1832502836.48054, time 0.468, 1070 shifts
Iteration 5: gap 0.019460147347450, obj 1813941083.65049, time 0.578, 1290 shifts
Iteration 6: gap 0.013706109943932, obj 1805829313.23425, time 0.675, 1501 shifts
Iteration 7: gap 0.008346949940838, obj 1802662320.15247, time 0.754, 1647 shifts
Iteration 8: gap 0.006085126202007, obj 1798702967.54472, time 0.848, 1877 shifts
Iteration 9: gap 0.004501711506046, obj 1796829662.5966, time 0.919, 2062 shifts
Iteration 10: gap 0.004363423271613, obj 1796096049.09729, time 0.984, 2229 shifts
Iteration 11: gap 0.003900513923008, obj 1795750222.75763, time 1.037, 2323 shifts
Iteration 12: gap 0.003862538128479, obj 1795436430.2379, time 1.087, 2438 shifts
Iteration 13: gap 0.003697407326851, obj 1795275873.48212, time 1.136, 2529 shifts
Iteration 14: gap 0.003608545636481, obj 1795174013.15441, time 1.181, 2604 shifts
Iteration 15: gap 0.003516137666885, obj 1795133777.08905, time 1.220, 2662 shifts
Iteration 16: gap 0.003638140967432, obj 1795070113.30976, time 1.263, 2732 shifts
Iteration 17: gap 0.003483312076084, obj 1795020621.13709, time 1.304, 2798 shifts
Iteration 18: gap 0.003623493879770, obj 1794996653.11245, time 1.345, 2852 shifts
Iteration 19: gap 0.003494495551551, obj 1794978845.93732, time 1.386, 2902 shifts
Iteration 20: gap 0.003464455625011, obj 1794953165.31719, time 1.423, 2960 shifts
Iteration 21: gap 0.003743746250150, obj 1794861790.76748, time 1.462, 3017 shifts
Iteration 22: gap 0.003512828269792, obj 1794724175.87696, time 1.506, 3091 shifts
Iteration 23: gap 0.000650689713047, obj 1792201233.17421, time 1.551, 3162 shifts
Iteration 24: gap 0.000398540346719, obj 1791378386.66849, time 1.674, 3784 shifts
Iteration 25: gap 0.000190234527261, obj 1791158418.53489, time 1.793, 4412 shifts
Iteration 26: gap 0.000129686559945, obj 1791027065.13483, time 1.941, 5289 shifts
Iteration 27: gap 0.000100550511473, obj 1790944200.18826, time 2.100, 6120 shifts
Iteration 28: gap 0.000146758117597, obj 1790912462.2633, time 2.233, 6751 shifts
Iteration 29: gap 0.000085829777867, obj 1790893341.19613, time 2.335, 7145 shifts
Iteration 30: gap 0.000066394263476, obj 1790878842.1684, time 2.466, 7690 shifts
Iteration 31: gap 0.000059766065039, obj 1790855146.03509, time 2.597, 8260 shifts
Iteration 32: gap 0.000056708440225, obj 1790837599.55692, time 2.725, 8811 shifts
Iteration 33: gap 0.000050673174375, obj 1790829571.22415, time 2.856, 9339 shifts
Iteration 34: gap 0.000058595012174, obj 1790824757.897, time 2.952, 9662 shifts
Iteration 35: gap 0.000055850018756, obj 1790820507.54111, time 3.047, 10033 shifts
Iteration 36: gap 0.000050608491233, obj 1790816727.56691, time 3.154, 10350 shifts
Iteration 37: gap 0.000044889999259, obj 1790811662.0638, time 3.276, 10821 shifts
Iteration 38: gap 0.000050470057342, obj 1790807692.62986, time 3.386, 11230 shifts
Iteration 39: gap 0.000045047246285, obj 1790804477.67665, time 3.468, 11519 shifts
Iteration 40: gap 0.000048984032166, obj 1790800716.22166, time 3.572, 11865 shifts
Iteration 41: gap 0.000039924380079, obj 1790799359.48301, time 3.643, 12047 shifts
Iteration 42: gap 0.000043803403811, obj 1790795211.69522, time 3.771, 12468 shifts
Iteration 43: gap 0.000043538583628, obj 1790791477.56042, time 3.861, 12747 shifts
Iteration 44: gap 0.000045266910834, obj 1790788239.22572, time 3.970, 13123 shifts
Iteration 45: gap 0.000038213341793, obj 1790785535.54784, time 4.044, 13327 shifts
Iteration 46: gap 0.000037179309075, obj 1790783450.08006, time 4.139, 13641 shifts
Iteration 47: gap 0.000035510422800, obj 1790781276.51987, time 4.237, 13931 shifts
Iteration 48: gap 0.000035311649531, obj 1790777598.15613, time 4.367, 14358 shifts
Iteration 49: gap 0.000032676880883, obj 1790772937.71693, time 4.468, 14699 shifts
Iteration 50: gap 0.000031921048758, obj 1790770624.50563, time 4.577, 15073 shifts
Iteration 51: gap 0.000031264442894, obj 1790768488.69644, time 4.691, 15425 shifts
Iteration 52: gap 0.000033058537915, obj 1790766868.78133, time 4.787, 15671 shifts
Iteration 53: gap 0.000034080709751, obj 1790765477.80428, time 4.864, 15877 shifts
Iteration 54: gap 0.000031777874227, obj 1790763429.25508, time 4.970, 16220 shifts
Iteration 55: gap 0.000029956440920, obj 1790761454.74189, time 5.063, 16497 shifts
Iteration 56: gap 0.000027503816293, obj 1790759876.24536, time 5.172, 16819 shifts
Iteration 57: gap 0.000031508106415, obj 1790757127.61751, time 5.298, 17231 shifts
Iteration 58: gap 0.000026417377971, obj 1790755885.34302, time 5.388, 17470 shifts
Iteration 59: gap 0.000028966729215, obj 1790753458.95105, time 5.500, 17823 shifts
Iteration 60: gap 0.000026676435047, obj 1790751129.12726, time 5.626, 18213 shifts
Iteration 61: gap 0.000026288897940, obj 1790749200.20717, time 5.725, 18552 shifts
Iteration 62: gap 0.000024407360418, obj 1790747470.98782, time 5.818, 18807 shifts
Iteration 63: gap 0.000026207613998, obj 1790745932.22395, time 5.917, 19082 shifts
Iteration 64: gap 0.000024679427069, obj 1790744724.69785, time 6.015, 19300 shifts
Iteration 65: gap 0.000024944556569, obj 1790742930.25305, time 6.129, 19729 shifts
Iteration 66: gap 0.000027122987250, obj 1790741666.57203, time 6.237, 20038 shifts
Iteration 67: gap 0.000024376444064, obj 1790738732.85756, time 6.371, 20571 shifts
Iteration 68: gap 0.000023561461489, obj 1790737362.67189, time 6.474, 20874 shifts
Iteration 69: gap 0.000024832206395, obj 1790736057.7413, time 6.609, 21294 shifts
Iteration 70: gap 0.000023454190851, obj 1790735304.48637, time 6.688, 21498 shifts
Iteration 71: gap 0.000024438673058, obj 1790733448.26163, time 6.797, 21865 shifts
Iteration 72: gap 0.000024511967050, obj 1790732877.14797, time 6.876, 22047 shifts
Iteration 73: gap 0.000020645542129, obj 1790732024.44893, time 6.990, 22378 shifts
Iteration 74: gap 0.000024443330743, obj 1790731540.50453, time 7.071, 22609 shifts
Iteration 75: gap 0.000029278743468, obj 1790731018.56136, time 7.151, 22836 shifts
Iteration 76: gap 0.000023637546348, obj 1790730569.11768, time 7.242, 23043 shifts
Iteration 77: gap 0.000023361817348, obj 1790730173.26554, time 7.310, 23175 shifts
Iteration 78: gap 0.000023853578807, obj 1790729818.49893, time 7.382, 23350 shifts
Iteration 79: gap 0.000019191079184, obj 1790729524.77424, time 7.440, 23471 shifts
Iteration 80: gap 0.000025711844369, obj 1790729079.71694, time 7.516, 23659 shifts
Iteration 81: gap 0.000023468388257, obj 1790728420.23252, time 7.593, 23863 shifts
Iteration 82: gap 0.000022587311823, obj 1790728059.12021, time 7.667, 24063 shifts
Iteration 83: gap 0.000020630672579, obj 1790727766.68802, time 7.727, 24188 shifts
Iteration 84: gap 0.000027408903471, obj 1790727114.2047, time 7.799, 24386 shifts
Iteration 85: gap 0.000021890242727, obj 1790726567.49358, time 7.870, 24581 shifts
Iteration 86: gap 0.000021482509991, obj 1790726007.01507, time 7.964, 24814 shifts
Iteration 87: gap 0.000020972356457, obj 1790725705.16395, time 8.039, 25027 shifts
Iteration 88: gap 0.000019318456893, obj 1790725412.49093, time 8.119, 25223 shifts
Iteration 89: gap 0.000020297647257, obj 1790725144.13419, time 8.212, 25392 shifts
Iteration 90: gap 0.000021300050711, obj 1790724857.12881, time 8.287, 25585 shifts
Iteration 91: gap 0.000018024188974, obj 1790724660.13773, time 8.356, 25725 shifts
Iteration 92: gap 0.000019088305784, obj 1790724388.48152, time 8.433, 25964 shifts
Iteration 93: gap 0.000017030112727, obj 1790724133.35148, time 8.511, 26120 shifts
Iteration 94: gap 0.000020351025601, obj 1790723579.7128, time 8.641, 26448 shifts
Iteration 95: gap 0.000016448161471, obj 1790723274.17815, time 8.732, 26720 shifts
Iteration 96: gap 0.000017782265532, obj 1790722978.42213, time 8.819, 27015 shifts
Iteration 97: gap 0.000016478302228, obj 1790722767.16758, time 8.912, 27175 shifts
Iteration 98: gap 0.000017426949654, obj 1790722566.76221, time 8.981, 27381 shifts
Iteration 99: gap 0.000016311726742, obj 1790722318.8119, time 9.057, 27557 shifts
Iteration 100: gap 0.000020011367161, obj 1790722139.16322, time 9.128, 27690 shifts
Aggregate TSTT: 6606813185.380492
